Name of Ingredients,Impact,Comments by Certified Medical Professional Dr. Arisha
Agave Nectar/Syrup,Swelling of blood vessels AKA Veins,It causes insulin sensitivity making people more prone to metabolic diseases.
Ajinomoto,"Chest pain, Nausea, Heart Palpitations","YES, it causes cardiac arrhythmias"
Ajwain,Acidity and reflux,It improves digestive health.
All purpose flour,"Metabolic Syndrome and Type 2 Diabetes, Cardiovascular Diseases and CANCER",More researches are verifying the mentioned impacts of all purpose flour.
Almond milk,"Anaemia, Weight loss, Blood and mucus in stool","NO, it doesn’t causes the mentioned health risks to the human body."
Almonds,Cyanide poisoning,"NO, it doesn’t causes cyanide poisoning, almonds improves cardiovascular health when consumed in an appropriate portion."
Alum,"Fluid Accumulation, Hypersensitivity, Skin Ulcer",It is a salt it can be a potential risk factor for CVDs
Amaranth,"Kidney problems, Low cholestrol levels",It is a gluen free grain and can be used by wheat intolerant patients without any health risks.
Apple Cidar Vinegar,"Low Potassium levels and bone loss, skin burns and throat burns",It can be used for health benefits in limited amount but it is not useful in weightloss.
Apricot,"Joint pain, Muscle pain and Low BP", It improves human health.
Arborio rice,Recurring Abdominal pain and chronic diarrhea,"Because of their higher starch amount, diabetic patients should not consume it on daily basis."
Artificial Sweetener,"Brain Tumors, Bladder Cancer and Seizures","YES, recent researches are showing the potential risk of cancers by artificial sweetners when consumed for a longterm period of time."
Asafoetida,"Blood disorders, convulsions and headache","It is a flavoring spice, it can impact health when used in excess."
Aspartme,"Seizures, migranes and Insomnia",It is an artificial sweetner and can be a health risk if consumed for longer periods of time in an excess.
Baking powder,"Abdominal pain, thirst, nausea and vomitting",It causes digestive problems in some intolerant individuals
Baking Soda ,"Constipation, Convulsion, Muscle Spasm and Muscle weakness",It improves gut problems
Balsamic Vinegar,Inflammated throat and Esophogael irritation,it can impact health if used on daily basis.
Basil,"Bleeding Disorders and Low BP, Minor Heart issues",Need more researches to verify such impact.
Basmati Rice,"Type 2 Diabestes, Obesity and Metabollic Syndrome","When consumed in a larger amount on daily basis can cause Type 2 Diabetes, Obesity and Metabollic Syndrome"
Bean sprouts,Fever and Diarrhea,"NO, it doesnt causes fever and diarrhea"
Beans,Slow down Bowel and causes cramping,Beans contain raffinose which might cause flatulence and discomfort.
Beet root,"Low Blood pressure, Kidney stones","Being high in potassium, it can be helpful to maintain blood pressure in normal individuals but YES vegetable juices do causes diabetic nephropathy. "
Beet sugar,"Diabetes, Heart Disease and Liver Problems",It hould be consumed in limited quantity.
Black beans,"Stomach distress, Stool changes and bloating",As it contains raffinose it can cause bloating
Blackstrap molasses,Irritatable Bowel Syndrome,"Because of their higher starch amount, diabetic patients should not consume it on daily basis."
Blue cheese,Blood pressure issues,Cheeses are high in fat and can impact cardiovascular health
Brown rice ,"Nasal congestion, lethargy, cramps, diarrhea",Brown rice are high in fiber may cause cramps in some people.
Brown rice syrup,"Diabetes, Heart Diseases","Because of their higher starch amount, diabetic patients should not consume it on daily basis."
Brown sauce,"Low nutrient density, Joint problems, Acidity and Heartburn",Because of its spice it can cause heartburn
Brown sugar,Yeast Infection and Diabetes,It's similar caloric count as table sugar makes it unhealthy to use in larger amount.
Brown sugar,Yeast Infection and Diabetes,
Buckwheat,"Asthma, Skin rashes, Blood pressure",its a gluten free cereal and be used safely by celiac disease patients.
Butter,"Obesity, Hypertension, Heart Disease and Cancer",Because of its higher amount of fat it can cause CVDs
